FECHA,HORA,AMPM,WATERQ_Redox,DATASET_04_PP,WATERQ_Redox
05/01/2012,05:55:00,p.m.,169.3,DATASET_04_PP,WATERQ_Redox
16/08/2011,05:38:00,p.m.,157.8,DATASET_04_PP,WATERQ_Redox
16/08/2011,05:58:00,p.m.,-39.7,DATASET_04_PP,WATERQ_Redox
16/08/2011,06:18:00,p.m.,-78.8,DATASET_04_PP,WATERQ_Redox
20/06/2012,02:20:00,p.m.,107.5,DATASET_04_PP,WATERQ_Redox
20/06/2012,02:38:00,p.m.,125.1,DATASET_04_PP,WATERQ_Redox
20/06/2012,02:57:00,p.m.,130.4,DATASET_04_PP,WATERQ_Redox
20/06/2012,03:15:00,p.m.,137,DATASET_04_PP,WATERQ_Redox
22/02/2011,01:01:00,p.m.,160.8,DATASET_04_PP,WATERQ_Redox
22/02/2011,01:35:00,p.m.,144.9,DATASET_04_PP,WATERQ_Redox
22/02/2011,01:56:00,p.m.,134,DATASET_04_PP,WATERQ_Redox
22/02/2011,02:05:00,p.m.,136.1,DATASET_04_PP,WATERQ_Redox
22/04/2013,06:29:00,p.m.,0,DATASET_04_PP,WATERQ_Redox
22/04/2013,06:50:00,p.m.,0,DATASET_04_PP,WATERQ_Redox
