FECHA,HORA,AMPM,WATERQ_pH,DATASET_04_PR,WATERQ_pH
08/02/2012,05:25:00,p.m.,7.2,DATASET_04_PR,WATERQ_pH
08/02/2012,05:41:00,p.m.,7.7,DATASET_04_PR,WATERQ_pH
09/08/2011,05:30:00,p.m.,7.6,DATASET_04_PR,WATERQ_pH
09/08/2011,05:44:00,p.m.,7.6,DATASET_04_PR,WATERQ_pH
10/04/2014,03:40:00,p.m.,7.1,DATASET_04_PR,WATERQ_pH
10/04/2014,03:45:00,p.m.,7.3,DATASET_04_PR,WATERQ_pH
11/12/2013,04:19:00,p.m.,7.3,DATASET_04_PR,WATERQ_pH
12/02/2014,02:19:00,p.m.,7.4,DATASET_04_PR,WATERQ_pH
12/02/2014,03:10:00,p.m.,7.4,DATASET_04_PR,WATERQ_pH
12/10/2011,06:24:00,p.m.,7.6,DATASET_04_PR,WATERQ_pH
12/10/2011,06:36:00,p.m.,7.6,DATASET_04_PR,WATERQ_pH
14/02/2017,06:28:00,p.m.,7.5,DATASET_04_PR,WATERQ_pH
15/08/2012,04:39:00,p.m.,7.4,DATASET_04_PR,WATERQ_pH
28/06/2012,05:02:00,p.m.,7.4,DATASET_04_PR,WATERQ_pH
28/06/2012,05:12:00,p.m.,7.4,DATASET_04_PR,WATERQ_pH
