FECHA;HORA;WATERQ_Temp;WATERQ_pH;WATERQ_OD;WATERQ_OD_pc
05/02/2016;13:15:00;13,79;7,42;9,75;94,45
05/02/2016;13:30:00;13,78;7,42;9,7;94
05/02/2016;13:45:00;13,8;7,43;9,77;94,72
11/02/2016;10:45:00;10,83;8,71;13,18;119,97
11/02/2016;11:00:00;10,83;8,7;13,22;120,36
11/02/2016;11:15:00;10,82;8,71;13,24;120,51
11/02/2016;11:30:00;10,8;8,7;13,19;120,02
11/02/2016;11:45:00;10,78;8,67;13,14;119,51
11/02/2016;12:00:00;10,76;8,64;13;118,16
11/02/2016;13:00:00;10,77;8,67;13,12;119,33
11/02/2016;13:15:00;10,78;8,66;13,17;119,76
11/02/2016;13:30:00;10,84;8,71;13,34;121,5
11/02/2016;13:45:00;10,98;8,78;13,54;123,68
11/02/2016;14:00:00;10,93;8,76;13,55;123,62
11/02/2016;14:15:00;10,92;8,76;13,56;123,74
11/02/2016;14:30:00;10,92;8,76;13,54;123,51
